func,d,min
Ackley,10,1.969425955650195e-09
Ackley,20,3.574451877257680e+00
Griewank,10,1.000000000000000e+00
Griewank,20,1.000000000000000e+00
Rastrigin,10,0.000000000000000e+00
Rastrigin,20,1.989918114186588e+01
Rotated Hyper-Ellipsoid,10,1.090617434712783e-12
Rotated Hyper-Ellipsoid,20,4.934410560921425e-13
Sphere,10,2.090078006704283e-44
Sphere,20,8.491556406171900e-35
Dixon-Price,10,3.819698679935383e-11
Dixon-Price,20,5.000000003406521e-01
Sum Squares,10,1.090628902874600e-12
Sum Squares,20,4.934423117413816e-13
Trid,10,-2.099999999999955e+02
Trid,20,-1.519999999994528e+03
Rosenbrock,10,8.197803582038418e-11
Rosenbrock,20,8.823190152812863e-11
Levy,10,1.075535746712944e-24
Levy,20,2.062066752294079e-15

